,name,athlete_id,gender,score,active,country,rank,price,is_team,links.self,links.results
294,ROMANOVA Yulia,3485889,f,0,False,RUS,87,227,False,https://www.fantasyxc.se/api/athletes/3485889,https://www.fantasyxc.se/api/athletes/3485889/results
295,SVAHN Linn,3506166,f,0,False,SWE,87,10641,False,https://www.fantasyxc.se/api/athletes/3506166,https://www.fantasyxc.se/api/athletes/3506166/results
296,OEBERG Jennie,3505445,f,0,False,SWE,87,219,False,https://www.fantasyxc.se/api/athletes/3505445,https://www.fantasyxc.se/api/athletes/3505445/results
297,GREAT BRITAIN I,3225029,f,0,True,GBR,87,215,True,https://www.fantasyxc.se/api/athletes/3225029,https://www.fantasyxc.se/api/athletes/3225029/results
298,PLOTNIKOVA Svetlana,3486186,f,0,True,RUS,87,211,False,https://www.fantasyxc.se/api/athletes/3486186,https://www.fantasyxc.se/api/athletes/3486186/results
299,SHURYGA Angelina,3675041,f,0,True,KAZ,87,217,False,https://www.fantasyxc.se/api/athletes/3675041,https://www.fantasyxc.se/api/athletes/3675041/results
300,HOKKANEN Heini,3185218,f,0,True,FIN,87,226,False,https://www.fantasyxc.se/api/athletes/3185218,https://www.fantasyxc.se/api/athletes/3185218/results
301,KVAALE Barbro,3425519,f,0,False,NOR,87,217,False,https://www.fantasyxc.se/api/athletes/3425519,https://www.fantasyxc.se/api/athletes/3425519/results
302,KLOBUCZEK Poonyanuch,3905003,f,0,True,THA,87,217,False,https://www.fantasyxc.se/api/athletes/3905003,https://www.fantasyxc.se/api/athletes/3905003/results
303,GJEITNES Kari Vikhagen,3425177,f,0,False,NOR,87,218,False,https://www.fantasyxc.se/api/athletes/3425177,https://www.fantasyxc.se/api/athletes/3425177/results
304,AUSTRIA I,3055176,f,0,True,AUT,87,1112,True,https://www.fantasyxc.se/api/athletes/3055176,https://www.fantasyxc.se/api/athletes/3055176/results
305,JE Sangmi,3325065,f,0,False,KOR,87,221,False,https://www.fantasyxc.se/api/athletes/3325065,https://www.fantasyxc.se/api/athletes/3325065/results
306,TANYGINA Alevtina,3485491,f,0,False,RUS,87,231,False,https://www.fantasyxc.se/api/athletes/3485491,https://www.fantasyxc.se/api/athletes/3485491/results
307,LETOCHA Urszula,3435133,f,0,False,POL,87,229,False,https://www.fantasyxc.se/api/athletes/3435133,https://www.fantasyxc.se/api/athletes/3435133/results
308,MURUD Thea Krokan,3425912,f,0,True,NOR,87,220,False,https://www.fantasyxc.se/api/athletes/3425912,https://www.fantasyxc.se/api/athletes/3425912/results
309,OLEKH Viktoriya,3695052,f,0,True,UKR,87,211,False,https://www.fantasyxc.se/api/athletes/3695052,https://www.fantasyxc.se/api/athletes/3695052/results
310,NOVAKOVA Petra,3155249,f,0,True,CZE,87,215,False,https://www.fantasyxc.se/api/athletes/3155249,https://www.fantasyxc.se/api/athletes/3155249/results
311,FAIVRE PICON Anouk,3195040,f,0,False,FRA,87,250,False,https://www.fantasyxc.se/api/athletes/3195040,https://www.fantasyxc.se/api/athletes/3195040/results
312,TYULENEVA Valeriya,3675066,f,0,True,KAZ,87,229,False,https://www.fantasyxc.se/api/athletes/3675066,https://www.fantasyxc.se/api/athletes/3675066/results
313,CALDWELL HAMILTON Sophie,3535304,f,0,False,USA,87,5018,False,https://www.fantasyxc.se/api/athletes/3535304,https://www.fantasyxc.se/api/athletes/3535304/results
314,SCHWARZ Nathalie,3055085,f,0,False,AUT,87,231,False,https://www.fantasyxc.se/api/athletes/3055085,https://www.fantasyxc.se/api/athletes/3055085/results
315,STUERZ Giulia,3295237,f,0,False,ITA,87,229,False,https://www.fantasyxc.se/api/athletes/3295237,https://www.fantasyxc.se/api/athletes/3295237/results
316,DE MARTIN TOPRANIN Virginia,3295088,f,0,False,ITA,87,229,False,https://www.fantasyxc.se/api/athletes/3295088,https://www.fantasyxc.se/api/athletes/3295088/results
317,RYDQVIST Maria,3505003,f,0,False,SWE,87,226,False,https://www.fantasyxc.se/api/athletes/3505003,https://www.fantasyxc.se/api/athletes/3505003/results
318,PETROVA Yuliya,3486477,f,0,False,RUS,87,215,False,https://www.fantasyxc.se/api/athletes/3486477,https://www.fantasyxc.se/api/athletes/3486477/results
319,MONONEN Laura,3185114,f,0,False,FIN,87,954,False,https://www.fantasyxc.se/api/athletes/3185114,https://www.fantasyxc.se/api/athletes/3185114/results
320,KURAMSHINA Viktoria,3485324,f,0,False,RUS,87,211,False,https://www.fantasyxc.se/api/athletes/3485324,https://www.fantasyxc.se/api/athletes/3485324/results
321,KOLB Hanna,3205224,f,0,False,DEU,87,213,False,https://www.fantasyxc.se/api/athletes/3205224,https://www.fantasyxc.se/api/athletes/3205224/results
322,MILLER Kaitlynn,3535636,f,0,False,USA,87,231,False,https://www.fantasyxc.se/api/athletes/3535636,https://www.fantasyxc.se/api/athletes/3535636/results
