,rank,country,price,score,active,athlete_id,is_team,name,gender,links.self,links.results
291,94,CAN,224,0,False,3105184,False,COMEAU Anne-Marie,f,https://www.fantasyxc.se/api/athletes/3105184,https://www.fantasyxc.se/api/athletes/3105184/results
292,94,RUS,222,0,False,3486270,False,TIMIRYAEVA Yulia,f,https://www.fantasyxc.se/api/athletes/3486270,https://www.fantasyxc.se/api/athletes/3486270/results
293,94,CHE,227,0,True,3515252,False,MEIER Alina,f,https://www.fantasyxc.se/api/athletes/3515252,https://www.fantasyxc.se/api/athletes/3515252/results
294,94,RUS,221,0,True,3486232,False,GOLOVAN Diana,f,https://www.fantasyxc.se/api/athletes/3486232,https://www.fantasyxc.se/api/athletes/3486232/results
295,94,USA,223,0,False,3535584,False,PHINNEY Kelsey,f,https://www.fantasyxc.se/api/athletes/3535584,https://www.fantasyxc.se/api/athletes/3535584/results
296,94,RUS,227,0,False,3485889,False,ROMANOVA Yulia,f,https://www.fantasyxc.se/api/athletes/3485889,https://www.fantasyxc.se/api/athletes/3485889/results
297,94,NOR,221,0,False,3425404,False,EIDE Mari,f,https://www.fantasyxc.se/api/athletes/3425404,https://www.fantasyxc.se/api/athletes/3425404/results
298,94,SWE,215,0,False,3505231,False,ERIKSSON Mia,f,https://www.fantasyxc.se/api/athletes/3505231,https://www.fantasyxc.se/api/athletes/3505231/results
299,94,CHN,224,0,True,3125106,False,JIALIN Bayani,f,https://www.fantasyxc.se/api/athletes/3125106,https://www.fantasyxc.se/api/athletes/3125106/results
300,94,SWE,222,0,False,3505869,False,MAGNUSSON Anna,f,https://www.fantasyxc.se/api/athletes/3505869,https://www.fantasyxc.se/api/athletes/3505869/results
301,94,CAN,216,0,False,3105146,False,BEATTY Dahria,f,https://www.fantasyxc.se/api/athletes/3105146,https://www.fantasyxc.se/api/athletes/3105146/results
302,94,SVN,230,0,False,3565073,False,SLABANJA Manca,f,https://www.fantasyxc.se/api/athletes/3565073,https://www.fantasyxc.se/api/athletes/3565073/results
303,94,KOR,655,0,True,3325102,True,KOREA I,f,https://www.fantasyxc.se/api/athletes/3325102,https://www.fantasyxc.se/api/athletes/3325102/results
304,94,FRA,224,0,True,3195313,False,LATUILLIERE Enora,f,https://www.fantasyxc.se/api/athletes/3195313,https://www.fantasyxc.se/api/athletes/3195313/results
305,94,SWE,217,0,False,3505183,False,JOENSSON HAAG Anna,f,https://www.fantasyxc.se/api/athletes/3505183,https://www.fantasyxc.se/api/athletes/3505183/results
306,94,KOR,221,0,False,3325065,False,JE Sangmi,f,https://www.fantasyxc.se/api/athletes/3325065,https://www.fantasyxc.se/api/athletes/3325065/results
307,94,POL,225,0,False,3435018,False,KUBINSKA Kornelia,f,https://www.fantasyxc.se/api/athletes/3435018,https://www.fantasyxc.se/api/athletes/3435018/results
308,94,RUS,223,0,True,3486186,False,PLOTNIKOVA Svetlana,f,https://www.fantasyxc.se/api/athletes/3486186,https://www.fantasyxc.se/api/athletes/3486186/results
309,94,POL,229,0,False,3435133,False,LETOCHA Urszula,f,https://www.fantasyxc.se/api/athletes/3435133,https://www.fantasyxc.se/api/athletes/3435133/results
310,94,SWE,1157,0,True,3506079,False,LUNDGREN Moa,f,https://www.fantasyxc.se/api/athletes/3506079,https://www.fantasyxc.se/api/athletes/3506079/results
311,94,CZE,220,0,True,3155249,False,NOVAKOVA Petra,f,https://www.fantasyxc.se/api/athletes/3155249,https://www.fantasyxc.se/api/athletes/3155249/results
312,94,FRA,250,0,False,3195040,False,FAIVRE PICON Anouk,f,https://www.fantasyxc.se/api/athletes/3195040,https://www.fantasyxc.se/api/athletes/3195040/results
313,94,USA,5018,0,False,3535304,False,CALDWELL HAMILTON Sophie,f,https://www.fantasyxc.se/api/athletes/3535304,https://www.fantasyxc.se/api/athletes/3535304/results
314,94,NOR,218,0,False,3425177,False,GJEITNES Kari Vikhagen,f,https://www.fantasyxc.se/api/athletes/3425177,https://www.fantasyxc.se/api/athletes/3425177/results
315,94,ITA,229,0,False,3295088,False,DE MARTIN TOPRANIN Virginia,f,https://www.fantasyxc.se/api/athletes/3295088,https://www.fantasyxc.se/api/athletes/3295088/results
316,94,AUT,1208,0,True,3055176,True,AUSTRIA I,f,https://www.fantasyxc.se/api/athletes/3055176,https://www.fantasyxc.se/api/athletes/3055176/results
317,94,RUS,215,0,False,3486477,False,PETROVA Yuliya,f,https://www.fantasyxc.se/api/athletes/3486477,https://www.fantasyxc.se/api/athletes/3486477/results
318,94,RUS,211,0,False,3485324,False,KURAMSHINA Viktoria,f,https://www.fantasyxc.se/api/athletes/3485324,https://www.fantasyxc.se/api/athletes/3485324/results
319,94,USA,231,0,False,3535636,False,MILLER Kaitlynn,f,https://www.fantasyxc.se/api/athletes/3535636,https://www.fantasyxc.se/api/athletes/3535636/results
320,94,RUS,231,0,False,3485491,False,TANYGINA Alevtina,f,https://www.fantasyxc.se/api/athletes/3485491,https://www.fantasyxc.se/api/athletes/3485491/results
321,94,NOR,229,0,True,3425912,False,MURUD Thea Krokan,f,https://www.fantasyxc.se/api/athletes/3425912,https://www.fantasyxc.se/api/athletes/3425912/results
322,94,UKR,225,0,True,3695052,False,OLEKH Viktoriya,f,https://www.fantasyxc.se/api/athletes/3695052,https://www.fantasyxc.se/api/athletes/3695052/results
323,94,KAZ,226,0,True,3675066,False,TYULENEVA Valeriya,f,https://www.fantasyxc.se/api/athletes/3675066,https://www.fantasyxc.se/api/athletes/3675066/results
324,94,KAZ,216,0,True,3675041,False,SHURYGA Angelina,f,https://www.fantasyxc.se/api/athletes/3675041,https://www.fantasyxc.se/api/athletes/3675041/results
325,94,ITA,229,0,False,3295237,False,STUERZ Giulia,f,https://www.fantasyxc.se/api/athletes/3295237,https://www.fantasyxc.se/api/athletes/3295237/results
326,94,ITA,215,0,True,3295439,False,DI CENTA Martina,f,https://www.fantasyxc.se/api/athletes/3295439,https://www.fantasyxc.se/api/athletes/3295439/results
327,94,CZE,2877,0,False,3155314,False,RAZYMOVA Katerina,f,https://www.fantasyxc.se/api/athletes/3155314,https://www.fantasyxc.se/api/athletes/3155314/results
328,94,NOR,217,0,False,3425519,False,KVAALE Barbro,f,https://www.fantasyxc.se/api/athletes/3425519,https://www.fantasyxc.se/api/athletes/3425519/results
329,94,RUS,221,0,True,3486375,False,KUCHERUK Olga,f,https://www.fantasyxc.se/api/athletes/3486375,https://www.fantasyxc.se/api/athletes/3486375/results
330,94,SWE,231,0,False,3505614,False,LINDKVIST Ida,f,https://www.fantasyxc.se/api/athletes/3505614,https://www.fantasyxc.se/api/athletes/3505614/results
331,94,NOR,219,0,True,3426182,False,OUS Amalie Haakonsen,f,https://www.fantasyxc.se/api/athletes/3426182,https://www.fantasyxc.se/api/athletes/3426182/results
332,94,EST,222,0,False,3395086,False,VEERPALU Anette,f,https://www.fantasyxc.se/api/athletes/3395086,https://www.fantasyxc.se/api/athletes/3395086/results
333,94,NOR,218,0,False,1303777,False,BJOERGEN Marit,f,https://www.fantasyxc.se/api/athletes/1303777,https://www.fantasyxc.se/api/athletes/1303777/results
334,94,FIN,214,0,True,3185610,False,ALAKOSKI Anni,f,https://www.fantasyxc.se/api/athletes/3185610,https://www.fantasyxc.se/api/athletes/3185610/results
335,94,NOR,227,0,True,3425902,False,GUSSIAAS Mari Stoeen,f,https://www.fantasyxc.se/api/athletes/3425902,https://www.fantasyxc.se/api/athletes/3425902/results
336,94,AUT,231,0,False,3055085,False,SCHWARZ Nathalie,f,https://www.fantasyxc.se/api/athletes/3055085,https://www.fantasyxc.se/api/athletes/3055085/results
337,94,RUS,212,0,True,3485858,False,KRYUCHKOVA Ekaterina,f,https://www.fantasyxc.se/api/athletes/3485858,https://www.fantasyxc.se/api/athletes/3485858/results
338,94,SRB,1660,0,True,3315039,True,SERBIA I,f,https://www.fantasyxc.se/api/athletes/3315039,https://www.fantasyxc.se/api/athletes/3315039/results
