,name,id,price,sex,points,elo,avg_points,elo1,race1,place
19,Elisa BROCARD,3295000,227,f,3.09680227364334,1437.27444334182,3.74468085106383,1437.27444334182,3.09680227364334,21
45,Hailey SWIRBUL,3535602,1503,f,2.83867785783028,1423.32705649172,4.5,1423.32705649172,2.83867785783028,22
15,Sofie KREHL,3205434,490,f,2.03389467458431,1372.5665092672,8.17647058823529,1372.5665092672,2.03389467458431,23
18,Jessica LOESCHKE,3205689,215,f,1.69465969996992,1326.30122084293,16,1326.30122084293,1.69465969996992,24
12,Anne WINKLER,3205350,217,f,1.41698009406829,1354.7732497386,6.57142857142857,1354.7732497386,1.41698009406829,25
41,Alina MEIER,3515252,227,f,1.13542974667652,1348.17509872928,5.3,1348.17509872928,1.13542974667652,26
11,Laura GIMMLER,3205305,808,f,1.05229614940792,1346.08033072714,4.91666666666667,1346.08033072714,1.05229614940792,27
17,Alexandra DANNER,3205655,217,f,0.962543706762267,1327.36195605496,7,1327.36195605496,0.962543706762267,28
3,Petra HYNCICOVA,3155270,221,f,0.74507914613961,1374.19395265645,0.733333333333333,1374.19395265645,0.74507914613961,29
14,Nadine HERRMANN,3205424,224,f,0.68539640011912,1332.76719669049,3.5,1332.76719669049,0.68539640011912,30
10,Lena QUINTIN,3195263,227,f,0.595971144399242,1360.21166413955,0.833333333333333,1360.21166413955,0.595971144399242,31
0,Lisa UNTERWEGER,3055108,231,f,0.527869115370838,1355.86478104063,0.761904761904762,1355.86478104063,0.527869115370838,32
35,Maria NORDSTROEM,3505591,230,f,0.511753311544315,1313.12451556578,4.09090909090909,1313.12451556578,0.511753311544315,33
29,Monika SKINDER,3435201,231,f,0.356855122048435,1300.61717808405,3.66666666666667,1300.61717808405,0.356855122048435,34
46,Hannah HALVORSEN,3535606,211,f,0.265841589866851,1301.6969415622,2.375,1301.6969415622,0.265841589866851,35
56,Alena PROCHAZKOVA,3705003,230,f,0.254086914466822,1257.22169829719,8.2962962962963,1257.22169829719,0.254086914466822,36
23,Anna SVENDSEN,3425381,481,f,0.201581073042266,1276.38967066413,4,1276.38967066413,0.201581073042266,37
8,Anni ALAKOSKI,3185610,214,f,0.0737127032491974,1301.20050561677,0.333333333333333,1301.20050561677,0.0737127032491974,38
1,Dahria BEATTY,3105146,216,f,0.0712172905914356,1261.75263115623,2.46153846153846,1261.75263115623,0.0712172905914356,39
22,Mariel Merlii PULLES,3395115,224,f,0.0505524728157477,1296.57064771435,0.25,1296.57064771435,0.0505524728157477,40
50,Anastasia KIRILLOVA,3665115,228,f,0.0318249185196223,1287.94429628445,0.25,1287.94429628445,0.0318249185196223,41
5,Zuzana HOLIKOVA,3155357,213,f,0.0116898351698807,1305.6176651825,0,1305.6176651825,0.0116898351698807,42
9,Jasmin KAHARA,3185828,229,f,0.00693639735020403,1300,0,1300,0.00693639735020403,43
49,Anja MANDELJC,3565090,213,f,0.00693639735020403,1300,0,1300,0.00693639735020403,44
42,Lea FISCHER,3515273,231,f,0.00472693702031327,1243.22230547161,1,1243.22230547161,0.00472693702031327,45
30,Weronika KALETA,3435202,227,f,0.00011148560998792,1231.33397841413,0.75,1231.33397841413,0.00011148560998792,46
